facility_id,production_start,EVI score difference,cost_evi
COM00875.00,2005,0.08387448591230509,0.0
COM00768.00,2011,-0.08803360975172769,-1268199.5103032035
COM01373.00,2006,-0.1155708611739353,-1664897.1905099896
COM01359.00,2005,-0.13465284767430752,-1939789.5413250085
COM00850.01,2002,-0.1225011757035811,-1764734.3040570857
COM00783.00,2015,-0.2405928265347991,-3465945.6275210585
COM00154.00,2006,-0.2097568540607634,-3021727.0466678785
COM00885.00,2012,0.02660120310341521,0.0
COM01389.01,2010,-0.1076359041611057,-1550587.341960925
COM01295.01,2004,-0.0794698181845464,-1144830.7616801825
COM00808.00,2011,-0.1066992982517602,-1537094.7320483143
COM00215.00,2014,-0.0244461887399791,-352168.2761419736
COM00170.00,2005,0.022665311529390608,0.0
COM00587.00,2009,-0.0506924889301984,-730268.6987235178
COM00862.00,2011,-0.23759576487441011,-3422770.3886461216
COM00854.00,2016,-0.0625283861319464,-900774.9301229556
COM00208.01,2010,-0.055644332018824405,-801604.2374774602
COM00151.00,2009,-0.0379897894232058,-547275.4380844402
COM00766.00,2008,-0.0088090619230691,-126902.07806510605
COM01401.01,2011,-0.09301198604710911,-1339917.2826144076
COM00229.00,2018,-0.09252074261858649,-1332840.5004939307
COM00230.01,2014,-0.04242190629876861,-611123.8758236981
COM00721.01,2011,-0.058511667649664506,-842910.6618438083
COM00352.00,2018,0.006928652142054702,0.0
COM00558.01,2019,-0.2690342400066693,-3875668.5360679147
COM00354.01,2012,-0.0722757324600227,-1041193.7982675676
COM00354.02,2013,-0.0669362263912602,-964273.6424229678
COM00354.03,2010,-0.03610441609510119,-520115.021305165
COM01278.01,2016,-0.0920825821882681,-1326528.4244046833
COM00403.00,2011,0.0347407937317428,0.0
COM00262.00,2008,-0.026130185368285194,-376427.6891706223
COM00326.00,2016,-0.10161880310660701,-1463905.8502865434
COM00864.01,2012,-0.014560297643719099,-209753.55200939105
COM01374.01,2016,-0.0363415194235847,-523530.6977260463
COM01254.00,2003,-0.049014900070465404,-706101.5950865829
COM00327.01,2012,-0.0300532377856419,-432942.6176009873
COM00422.01,2017,-0.023619795111149602,-340263.36847824254
COM00544.01,2007,-0.049200410198077596,-708774.0272821677
COM00421.02,2008,-0.0597580457116203,-860865.8047975365
COM00421.04,2008,-0.10779281139796099,-1552847.725029438
COM00421.03,2008,-0.0697003391990009,-1004093.0536578997
COM00517.01,2015,-0.0641120940806614,-923589.5988692208
COM00980.00,2012,-0.009874108631864505,-142244.98764649878
COM00855.01,2008,0.0014544708960328029,0.0
COM01198.00,2013,-0.014451784343495998,-208190.32502605562
COM00231.00,2014,-0.071694921091983,-1032826.7133030434
COM00436.00,2008,-0.0227326194136022,-327482.84308168583
COM01201.00,2003,-0.0450036577684428,-648316.2158719957
COM00638.00,2008,-0.0248003744227085,-357270.62410499144
COM00054.00,2016,-0.0037841148369514993,-54513.41364607392
COM01310.00,2007,-0.04404323557166011,-634480.5119507416
COM01117.00,2008,-0.012126544933098102,-174693.26078069847
COM01329.03,2004,-0.1976261199863456,-2846973.437720324
COM00962.01,2001,-0.028490523996484107,-410430.3876953508
COM01255.00,2016,-0.008792892576148195,-126669.14478082013
COM00890.01,2017,-0.039113798438413894,-563467.7501648307
COM00615.01,2014,-0.011490262855288605,-165527.07275582457
COM00283.00,2014,-0.116354072628377,-1676180.0219852414
COM00050.00,2001,0.0496084167466207,0.0
COM01366.00,2010,-0.37370885325163866,-5383595.947346674
COM00123.00,2012,-0.10212704320061222,-1471227.4839234194
COM00830.00,2011,-0.13653768246974068,-1966942.2000801365
COM01300.00,2017,-0.36569072844558626,-5268087.9955398245
COM00250.01,2006,0.018645701636834586,0.0
COM00751.00,2013,-0.004929532344604498,-71014.13338703332
COM00648.00,2018,0.0158192857367071,0.0
COM01102.00,2007,-0.07319732350441299,-1054470.106196911
COM00649.00,2007,-0.20501655643452021,-2953439.001394635
COM00651.00,2011,-0.08842659020823482,-1273860.7301930455
COM01273.00,2009,-0.0847734422055318,-1221234.0059094583
COM00698.00,2010,-0.13790412550149692,-1986626.9817063548
COM00051.00,2016,-0.23486861735077388,-3383483.493973122
COM01209.00,2004,-0.2911100874760366,-4193690.017058365
COM01258.00,2011,-0.038782507545509215,-558695.221248494
COM01039.00,2004,-0.1368209123813432,-1971022.3694178534
COM00086.01,2013,-0.18045177148564862,-2599562.245338394
COM00977.00,2007,0.06184664939866591,0.0
COM00779.00,2012,-0.3913629760317197,-5637918.69893749
COM01040.01,2008,-0.3460072207744969,-4984530.217323932
COM00016.00,2013,-0.15043791442007443,-2167186.9407221414
COM00009.02,2006,0.044114043624840726,0.0
COM00009.01,2006,0.006565937777683828,0.0
COM00748.03,2005,0.03333335223271469,0.0
COM00748.01,2005,0.000938128548323508,0.0
COM00748.04,2005,-0.004719997323197084,-67995.60202963844
COM00291.00,2005,-0.014114505475632977,-203331.53420439325
COM00396.00,2013,-0.07756793498222364,-1117432.5060293938
COM00417.01,2014,-0.10065619720440702,-1450038.6882193757
COM00586.00,2016,-0.0168072817353307,-242123.2813965811
COM01052.01,2013,,
COM00746.01,2008,-0.11292515781060511,-1626783.5686870809
COM00150.00,2004,0.046810931559477825,0.0
COM01061.01,2006,0.042292247408365485,0.0
COM00333.00,2013,-0.31283501003003034,-4506656.124230963
COM00625.00,2014,0.06002300602516081,0.0
COM01138.00,2011,-0.041188212936328295,-593351.4668253222
COM00269.00,2009,-0.030106804028395093,-433714.2851836295
COM00008.00,2005,-0.0904261951615427,-1302666.7513222103
